Stopword,Bobot
diantara,0.04052098408104197
itulah,0.049204052098408106
masalah,0.06222865412445731
dilihat,0.05065123010130246
mau,0.05499276410998553
jawaban,0.05499276410998553
sebenarnya,0.05065123010130246
kembali,0.06367583212735166
menantikan,0.04775687409551375
setengah,0.04630969609261939
bawah,0.04775687409551375
biasa,0.06801736613603473
apa,0.1085383502170767
antara,0.1316931982633864
terlalu,0.056439942112879886
berlainan,0.04486251808972504
hal,0.07091172214182344
masih,0.049204052098408106
tahun,0.04341534008683068
atau,0.5108538350217077
keseluruhan,0.05065123010130246
pada,0.0955137481910275
berikan,0.04630969609261939
di,0.3748191027496382
mulai,0.08683068017366136
mendatang,0.04630969609261939
merupakan,0.03183791606367583
keinginan,0.04775687409551375
dikarenakan,0.04486251808972504
juga,0.22865412445730826
lainnya,0.0694645441389291
lagi,0.03762662807525326
memperlihatkan,0.04341534008683068
mengingatkan,0.05209840810419682
akhiri,0.04486251808972504
memungkinkan,0.059334298118668596
naik,0.04341534008683068
akan,0.1085383502170767
berapa,0.05065123010130246
memberikan,0.08393632416787265
sejak,0.04775687409551375
ada,0.2590448625180897
bisa,0.24457308248914617
bahwa,0.09985528219971057
rupanya,0.04775687409551375
terdapat,0.04341534008683068
berupa,0.053545586107091175
soal,0.056439942112879886
ketika,0.13024602026049203
itu,0.21273516642547033
macam,0.04486251808972504
sendirian,0.04775687409551375
seolah-olah,0.07380607814761216
berlangsung,0.04486251808972504
bersama,0.09117221418234443
sepanjang,0.06512301013024602
memberi,0.08827785817655572
sekaligus,0.04630969609261939
sebelumnya,0.05209840810419682
berakhirnya,0.059334298118668596
tanpa,0.11432706222865413
terlebih,0.03907380607814761
dan,0.91027496382055
yaitu,0.03473227206946455
berkata,0.05499276410998553
apalagi,0.04486251808972504
paling,0.030390738060781478
mengetahui,0.049204052098408106
menyebutkan,0.059334298118668596
meski,0.060781476121562955
lama,0.056439942112879886
berada,0.07959479015918958
dekat,0.07091172214182344
hari,0.06367583212735166
menyangkut,0.04630969609261939
begitu,0.05788712011577424
kini,0.04630969609261939
usai,0.04486251808972504
kemungkinan,0.04486251808972504
mempersiapkan,0.04775687409551375
saya,0.3748191027496382
selain,0.0694645441389291
tinggi,0.04052098408104197
ingin,0.06512301013024602
gunakan,0.04486251808972504
ucapnya,0.04486251808972504
mengingat,0.049204052098408106
menambahkan,0.04341534008683068
pantas,0.04630969609261939
beberapa,0.07959479015918958
rata,0.049204052098408106
besar,0.10998552821997105
tiba-tiba,0.06657018813314038
dilakukan,0.07091172214182344
sebelum,0.059334298118668596
mirip,0.05209840810419682
diantaranya,0.04486251808972504
siap,0.05499276410998553
pertama,0.0723589001447178
para,0.05209840810419682
meskipun,0.09261939218523878
ingat,0.05065123010130246
sekarang,0.03762662807525326
ialah,0.04341534008683068
sejenak,0.05065123010130246
sehingga,0.06367583212735166
siapa,0.049204052098408106
dengan,0.37337192474674386
padahal,0.04775687409551375
ditunjukkan,0.04630969609261939
semuanya,0.049204052098408106
keluar,0.04775687409551375
awal,0.06512301013024602
asalkan,0.04775687409551375
boleh,0.05065123010130246
sekadar,0.06801736613603473
teringat,0.049204052098408106
pasti,0.04486251808972504
dibuat,0.04052098408104197
per,0.05065123010130246
merasa,0.18234442836468887
dikerjakan,0.04630969609261939
dia,0.09117221418234443
sebesar,0.04341534008683068
menunjukkan,0.04630969609261939
melalui,0.03762662807525326
adanya,0.049204052098408106
rasanya,0.056439942112879886
mengakhiri,0.04630969609261939
waktu,0.08393632416787265
umum,0.05065123010130246
khususnya,0.05209840810419682
lah,0.04341534008683068
turut,0.05065123010130246
kepadanya,0.04341534008683068
tetapi,0.1649782923299566
waduh,0.04775687409551375
tentu,0.04775687409551375
bertanya,0.05065123010130246
minta,0.04775687409551375
suatu,0.05209840810419682
ke,0.06512301013024602
tidak,0.22141823444283648
kecil,0.0824891461649783
lamanya,0.04775687409551375
berarti,0.0824891461649783
pun,0.05065123010130246
segera,0.049204052098408106
balik,0.05065123010130246
misalnya,0.07814761215629522
seketika,0.05065123010130246
berikut,0.059334298118668596
cuma,0.04486251808972504
tampak,0.04630969609261939
kenapa,0.04486251808972504
seberapa,0.053545586107091175
sedang,0.085383502170767
malah,0.060781476121562955
diungkapkan,0.04775687409551375
diberi,0.05065123010130246
sedangkan,0.0
agak,0.04486251808972504
terdiri,0.06367583212735166
jika,0.10130246020260492
sama-sama,0.04630969609261939
mengucapkan,0.04775687409551375
begini,0.04775687409551375
mendapatkan,0.041968162083936326
masa,0.0694645441389291
depan,0.0694645441389291
dapat,0.12156295224312591
semua,0.08683068017366136
dong,0.04341534008683068
kapan,0.04775687409551375
tadi,0.04775687409551375
sebuah,0.10130246020260492
lalu,0.06512301013024602
satu,0.12735166425470332
pertanyaan,0.053545586107091175
berbagai,0.11577424023154848
segalanya,0.05065123010130246
mereka,0.22431259044862517
kepada,0.06657018813314038
menurut,0.053545586107091175
masing-masing,0.049204052098408106
jelas,0.04775687409551375
jumlah,0.04052098408104197
dari,0.3342981186685962
keadaan,0.08972503617945007
luar,0.09985528219971057
harus,0.11432706222865413
sini,0.053545586107091175
seorang,0.06801736613603473
sebagai,0.0955137481910275
seluruh,0.059334298118668596
beri,0.04775687409551375
dilalui,0.05065123010130246
maupun,0.07380607814761216
menjawab,0.05499276410998553
belakang,0.05065123010130246
akhirnya,0.10709117221418235
tiga,0.04630969609261939
kata,0.06801736613603473
datang,0.09261939218523878
bermaksud,0.04486251808972504
bermacam,0.04486251808972504
tak,0.059334298118668596
selama,0.07380607814761216
sana,0.049204052098408106
sesama,0.06222865412445731
jauh,0.06657018813314038
sekecil,0.04486251808972504
sendiri,0.10998552821997105
sewaktu,0.04486251808972504
sepertinya,0.04486251808972504
padanya,0.049204052098408106
seolah,0.04775687409551375
jumlahnya,0.04052098408104197
ikut,0.059334298118668596
menuju,0.05788712011577424
daripada,0.04052098408104197
persoalan,0.04341534008683068
antar,0.053545586107091175
dini,0.04775687409551375
sempat,0.05065123010130246
saat,0.1287988422575977
dua,0.06512301013024602
masalahnya,0.04486251808972504
dulu,0.04775687409551375
bekerja,0.06801736613603473
kan,0.02894356005788712
diketahui,0.04775687409551375
tertentu,0.0723589001447178
serupa,0.04486251808972504
tengah,0.060781476121562955
misalkan,0.04775687409551375
sambil,0.059334298118668596
kasus,0.05788712011577424
semula,0.04775687409551375
lanjut,0.056439942112879886
tadinya,0.04775687409551375
justru,0.056439942112879886
asal,0.04775687409551375
awalnya,0.05499276410998553
menyiapkan,0.04630969609261939
kurang,0.07959479015918958
sedikit,0.07380607814761216
dalam,0.4283646888567294
diperlukan,0.04341534008683068
menyampaikan,0.04341534008683068
dijelaskan,0.04341534008683068
sebagian,0.049204052098408106
inilah,0.04486251808972504
bagaimana,0.06801736613603473
benarkah,0.04775687409551375
cukup,0.05209840810419682
panjang,0.07380607814761216
tiba,0.049204052098408106
pukul,0.04630969609261939
saja,0.05065123010130246
mengungkapkan,0.04052098408104197
benar,0.04630969609261939
yang,1.0
sangat,0.17945007235890015
ibu,0.05499276410998553
antaranya,0.049204052098408106
setempat,0.04775687409551375
kamu,0.07670043415340087
memulai,0.05209840810419682
kalau,0.07814761215629522
menjelaskan,0.056439942112879886
mengerjakan,0.04486251808972504
sebab,0.04486251808972504
pentingnya,0.05065123010130246
adalah,0.2778581765557164
maka,0.03328509406657019
bersama-sama,0.04775687409551375
inginkan,0.04486251808972504
mendatangkan,0.04486251808972504
mungkin,0.0723589001447178
belum,0.059334298118668596
kami,0.07814761215629522
disampaikan,0.04486251808972504
terjadi,0.09406657018813314
serta,0.14616497829232997
sebaliknya,0.04341534008683068
bulan,0.04775687409551375
sekitar,0.07814761215629522
seseorang,0.10564399421128799
lain,0.191027496382055
termasuk,0.06222865412445731
kemudian,0.04630969609261939
diinginkan,0.04341534008683068
lebih,0.23878437047756873
menanyakan,0.04775687409551375
segala,0.060781476121562955
atas,0.053545586107091175
jelaskan,0.04775687409551375
nyatanya,0.04486251808972504
sering,0.1085383502170767
jawab,0.05788712011577424
buat,0.02894356005788712
demi,0.05065123010130246
soalnya,0.041968162083936326
menggunakan,0.05209840810419682
nah,0.04341534008683068
melakukan,0.049204052098408106
bagian,0.05788712011577424
bahkan,0.08104196816208394
tempat,0.06801736613603473
semata,0.049204052098408106
namun,0.1345875542691751
biasanya,0.09117221418234443
menyatakan,0.0723589001447178
setiap,0.10564399421128799
sebanyak,0.04630969609261939
tetap,0.09117221418234443
demikian,0.04486251808972504
dimulai,0.04341534008683068
pernah,0.06657018813314038
dahulu,0.04052098408104197
bukanlah,0.05209840810419682
melihat,0.10274963820549927
diberikan,0.041968162083936326
rasa,0.1649782923299566
secara,0.1649782923299566
oleh,0.07670043415340087
terasa,0.07525325615050651
lewat,0.041968162083936326
sama,0.10709117221418235
jangan,0.053545586107091175
disebut,0.04486251808972504
mengenai,0.04630969609261939
sinilah,0.04775687409551375
kita,0.12735166425470332
tentunya,0.04486251808972504
sebaik,0.04486251808972504
menunjuk,0.04775687409551375
sekitarnya,0.041968162083936326
sebagainya,0.04775687409551375
jadi,0.06801736613603473
seperti,0.23444283646888567
mengatakan,0.049204052098408106
selalu,0.10998552821997105
tersebut,0.07380607814761216
mendapat,0.03473227206946455
hingga,0.0694645441389291
pak,0.049204052098408106
ini,0.2633863965267728
cara,0.07091172214182344
sejauh,0.04630969609261939
ternyata,0.056439942112879886
telah,0.0723589001447178
dirinya,0.04630969609261939
semakin,0.06657018813314038
katanya,0.04775687409551375
hampir,0.05209840810419682
terlihat,0.04630969609261939
mampu,0.05065123010130246
untuk,0.32850940665701883
bagi,0.10419681620839363
bukan,0.08972503617945007
anda,0.10998552821997105
memerlukan,0.05065123010130246
sesuatu,0.07814761215629522
digunakan,0.0723589001447178
sudah,0.09985528219971057
guna,0.04486251808972504
walaupun,0.04486251808972504
dimulainya,0.05209840810419682
sementara,0.053545586107091175
empat,0.04341534008683068
keduanya,0.06801736613603473
semacam,0.04775687409551375
baik,0.10130246020260492
terakhir,0.04052098408104197
mana,0.0694645441389291
memang,0.05065123010130246
pihak,0.04775687409551375
tentang,0.1085383502170767
menyeluruh,0.04775687409551375
aku,0.01447178002894356
umumnya,0.05209840810419682
membuat,0.07959479015918958
menjadi,0.12011577424023155
setelah,0.1085383502170767
bapak,0.06367583212735166
terhadap,0.08393632416787265
sendirinya,0.04486251808972504
tepat,0.04486251808972504
ia,0.04341534008683068
terutama,0.06222865412445731
berikutnya,0.05065123010130246
pula,0.041968162083936326
dimaksud,0.04775687409551375
akhir,0.04341534008683068
punya,0.04630969609261939
penting,0.09840810419681621
baru,0.12011577424023155
sekali,0.04630969609261939
banyak,0.09985528219971057
memastikan,0.04486251808972504
kedua,0.07380607814761216
sejumlah,0.041968162083936326
ataupun,0.03907380607814761
karena,0.26483357452966716
artinya,0.04630969609261939
melainkan,0.053545586107091175
agar,0.07814761215629522
tiap,0.04630969609261939
berjumlah,0.04486251808972504
adapun,0.04486251808972504
kebetulan,0.049204052098408106
berakhir,0.049204052098408106
mempunyai,0.04486251808972504
hanya,0.12156295224312591
ujar,0.04486251808972504
kira,0.04775687409551375
seharusnya,0.04775687409551375
sampai,0.056439942112879886
saling,0.059334298118668596
perlu,0.04775687409551375
diri,0.1085383502170767
selanjutnya,0.04630969609261939
sesaat,0.04775687409551375
tapi,0.0694645441389291
terus,0.06657018813314038
tahu,0.0723589001447178
apakah,0.053545586107091175
